Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG
Date,,,,,,,,,,
2024-09-16,215.84495544433594,158.62911987304688,216.74297289953918,158.8785524071565,213.4502168549942,157.25224741303262,216.0644583037111,157.9706143292006,59357400,14157600
2024-09-17,216.31390380859375,159.9161834716797,216.42366284814068,161.22320750164613,214.02893954474482,159.0481631332768,215.27619443719672,159.7266123117633,45519300,12064800
2024-09-18,220.20535278320312,160.44497680664062,222.22092099435915,161.26312280572637,217.06226125375574,159.29759326798978,217.07224903728172,160.48489453662953,59894900,16756500
2024-09-19,228.3673858642578,162.86947631835938,229.31531179988679,164.6155040932057,224.1367068474718,162.15310375152245,224.49591687958383,164.4458917934048,66781300,17548200
2024-09-20,227.6988525390625,164.2662811279297,232.57811312113958,164.37603204660826,227.12012443578536,162.8095885003916,229.46496974860833,164.14655838906322,318679900,46362700
2024-09-23,225.97265625,162.69985961914062,228.94610768522742,166.23181758098326,225.31410200503296,162.58012165110702,226.8407407931877,164.96469605302332,54146000,15648400
2024-09-24,226.8706817626953,163.2685546875,228.8463445678705,164.176492741931,225.2342838755063,161.6622086004887,228.14786961487798,163.87717066392423,43556100,18774100
2024-09-25,225.8728790283203,162.62002563476562,226.79085685048213,163.84423017025003,223.52804884217394,162.4055021045772,224.43603888049125,162.6000667710883,42308700,13607900
2024-09-26,227.02035522460938,163.4581298828125,227.99819881641105,165.12433738176023,224.9149883158055,163.1288771112858,226.80083714120576,164.65540300026643,36636700,18234500
2024-09-27,227.2897491455078,164.91481018066406,229.01596089620384,166.59100475314528,226.80083496693393,163.4581326837826,227.9582911728241,163.5379529228678,34026000,13604300
2024-09-30,232.4883270263672,166.8105010986328,232.4883270263672,166.9801133920327,229.14567760776433,164.26628624932783,229.53482055042815,164.40596785707794,54541900,14070100
2024-10-01,225.71324157714844,168.03770446777344,229.14567442683443,170.05312356675083,223.24866456606327,165.5234203103271,229.01597026460064,168.47670815509065,63285000,18629500
2024-10-02,226.281982421875,166.9302215576172,226.8706831083472,168.49666513124245,222.5302449869956,165.87263008138385,225.39393750024195,167.37919706037525,32880600,12745000
2024-10-03,225.17440795898438,166.83045959472656,226.3119038145279,167.52886763193206,222.82957789090332,164.994624608732,224.64557310138042,165.4436153407923,34044200,11004300
2024-10-04,226.30194091796875,168.17738342285156,227.49930262356304,169.1651417037373,223.63780617480538,166.58102439541923,227.39951613756347,168.95561168385737,37245100,11422100
2024-10-07,221.20315551757812,164.016845703125,225.1943712346882,169.51433291164238,220.84394549402703,163.7574413654542,224.0069821228032,168.7560635386529,39505400,14034700
2024-10-08,225.27420043945312,165.32386779785156,225.4837307412941,165.72296895610333,222.75973024040246,163.9370236242508,223.80742742544692,165.0544764190507,31855700,11723900
2024-10-09,229.03591918945312,162.6898651123047,229.24546472466872,165.8825983372775,224.33627096325682,160.75426631287192,224.73538646570117,164.48078878674917,33591100,19666400
2024-10-10,228.53701782226562,162.80958557128906,228.99601435408132,163.93803021658485,226.67112924406288,161.27308796158508,227.27979028338342,161.7420223125794,28183500,12900500
2024-10-11,227.05029296875,164.1465606689453,228.9062089337624,164.89485824555993,226.84074743911052,162.1311415998337,228.79644988971887,162.95925941151893,31759200,10946000
2024-10-14,230.79205322265625,165.972412109375,231.22110160659443,167.23951840464235,228.09798564307096,164.40596850811767,228.19775690140833,164.53567829588263,39882100,9981800
2024-10-15,233.33645629882812,166.52114868164062,236.9684620133565,168.70618005069358,231.85969551276995,165.67308722562564,233.0969778733182,166.7606093878907,64751400,14829300
2024-10-16,231.27099609375,166.3615264892578,231.61024577942743,166.90029405802036,229.33525401328018,164.8409837085831,231.09139869260778,165.65313140202477,34082200,9968500
2024-10-17,231.6401824951172,164.13658142089844,233.3364614020046,167.54881670544276,230.0137723986246,163.99689980892833,232.9173703418766,167.0000773025163,32993800,15113400
2024-10-18,234.48391723632812,164.67535400390625,235.66131853389138,165.99234980298428,233.4960858911256,164.3760319327944,235.66131853389138,164.49575467157797,46431500,13091300
2024-10-21,235.96067810058594,165.4236602783203,236.32987592195377,165.8427051102763,233.9351372634737,163.93204336640198,233.9351372634737,164.20642828942988,36254500,11384000
2024-10-22,235.342041015625,166.44134521484375,235.70125104779564,167.08986370041146,232.08920560922664,164.29621633151714,233.376366009758,164.32614701705697,38846600,11958600
2024-10-23,230.25323486328125,164.1066436767578,234.62362105235994,167.2195719618869,227.25982300232985,163.26156615464373,233.56595129753524,166.05221433986773,52287000,12754300
2024-10-24,230.0636749267578,164.1565399169922,230.3131259260407,164.67536385635017,227.90841463888628,162.40054033844325,229.47495899723685,164.21640128996543,31109500,12764400
2024-10-25,230.9018096923828,166.61094665527344,232.7078323586645,167.0200044057247,229.0658541264054,164.85493202249762,229.23547896644118,164.98963532280627,38802300,14566400
2024-10-28,232.88743591308594,167.9578857421875,234.21451699403664,170.21874866254464,232.03931169048735,165.41367087628183,232.80762499530724,170.20277852548895,36087100,20858300
2024-10-29,233.15684509277344,170.75152587890625,233.815399347975,171.46989275694872,231.8098189074392,168.27715953462263,232.58810476348472,169.0005047106586,35417200,28916100
2024-10-30,229.5946807861328,175.7401885986328,232.95727501758805,183.37281818194802,229.04588560251634,175.34608092530422,232.09916306464564,181.9959609227769,47070900,49698300
2024-10-31,225.4138946533203,172.2980194091797,229.325284321648,178.0150088186449,224.8750719925984,172.1683096199305,228.83635490362704,174.32341036482913,64370100,32801900
2024-11-01,222.42047119140625,172.2581024169922,224.8551151455125,173.42546007693375,219.78626950218685,169.92341754541656,220.48472918772245,171.15062135368265,65276700,21752900
2024-11-04,221.52244567871094,170.2925567626953,222.3007315284092,171.52974749911522,219.2275088130919,169.1002772755517,220.5046966292777,170.8512983761494,44944500,16194000
2024-11-05,222.95928955078125,171.0209197998047,223.45819152571042,171.70635684531885,220.65436486265338,169.98327197206876,221.31291912362707,170.4422345159045,28111300,12518300
2024-11-06,222.23089599609375,177.9252166748047,225.5735453041769,178.23451058056995,220.7042571772517,174.64267600746507,222.12113695305962,174.95198513738399,54561100,27061500
2024-11-07,226.98043823242188,181.86624145507812,227.37956894750107,182.16556352998285,224.0768403097807,178.48393702420717,224.13670611072257,178.70343886419374,42137700,16730400
2024-11-08,226.7107391357422,179.45175170898438,228.4088689967903,181.9361053506888,226.16134014604208,179.16241665392053,226.92049995960826,181.58689369622658,38328800,15021500
2024-11-11,223.98373413085938,181.55694580078125,225.45212091614073,181.67169024189303,221.25673663335022,179.58144448419563,224.7528927426808,179.6612647183404,42005600,12503400
2024-11-12,223.98373413085938,182.90390014648438,225.34224111445195,183.6072865116738,223.11469448970428,180.57918704795912,224.30339000560164,180.9683012011966,40398300,14065800
2024-11-13,224.8727569580078,180.080322265625,226.4010754152989,182.2004988580566,222.5153482196322,179.71115175357687,223.76397540644066,181.7365427627674,48566200,13969700
2024-11-14,227.9693603515625,176.94744873046875,228.61864039722624,180.03542477204525,224.7528954725484,175.6304376208683,224.77287777547028,179.34199500809183,44923900,17925800
2024-11-15,224.7528839111328,173.4952850341797,226.67077335813082,175.4807733973284,224.023689933323,172.35287981643725,226.15134020310103,175.24131269462887,47923700,21708900
2024-11-18,227.7695770263672,176.39869689941406,229.4876892234719,176.50844782695492,224.92270099550518,174.0240942257961,225.00261496304853,174.55788351993363,44686000,18725400
2024-11-19,228.02928161621094,179.17236328125,229.90722171238716,179.76102035391557,226.41106572007726,174.71849185468582,226.73070634208972,174.83722501844,36211800,15392900
